aX,aY,aZ,gX,gY,gZ
0.068,-1.527,1.110,16.968,43.518,79.163
0.207,-1.539,1.116,33.508,41.077,59.021
0.356,-1.559,1.083,37.170,36.621,36.682
0.499,-1.571,1.021,28.870,29.907,10.864
0.645,-1.458,0.947,23.621,23.621,-13.794
0.818,-1.237,0.888,32.898,18.860,-37.292
0.960,-0.963,0.810,38.086,16.235,-58.960
1.061,-0.662,0.698,28.992,11.780,-77.454
1.098,-0.342,0.602,15.259,6.775,-88.928
1.116,-0.062,0.555,6.287,4.272,-90.759
1.126,0.131,0.542,-2.258,3.174,-84.717
1.110,0.266,0.552,-16.541,2.563,-75.195
1.096,0.338,0.556,-27.344,2.991,-64.819
1.024,0.423,0.573,-32.471,5.493,-59.692
0.925,0.510,0.645,-31.006,9.827,-58.044
0.800,0.574,0.725,-26.184,12.390,-56.274
0.678,0.567,0.761,-24.963,11.353,-51.331
0.568,0.495,0.792,-30.762,9.155,-44.678
0.399,0.414,0.838,-37.231,7.996,-38.635
0.232,0.350,0.923,-36.682,10.803,-35.950
0.102,0.338,0.979,-31.494,17.273,-34.607
-0.020,0.370,1.051,-23.254,22.827,-34.180
-0.128,0.405,1.117,-11.719,25.452,-32.715
-0.200,0.434,1.138,-6.104,24.841,-28.198
-0.258,0.437,1.145,-6.104,22.095,-21.179
-0.284,0.379,1.134,-7.080,18.555,-12.390
-0.296,0.297,1.110,-10.132,15.259,-4.150
-0.311,0.197,1.091,-12.329,12.390,3.540
-0.326,0.094,1.081,-11.536,11.047,10.376
-0.344,0.017,1.084,-9.888,9.583,16.113
-0.356,-0.055,1.095,-9.827,7.019,21.484
-0.373,-0.119,1.113,-10.010,3.113,25.635
-0.375,-0.174,1.118,-7.996,-1.465,28.381
-0.355,-0.206,1.102,-3.418,-5.859,29.053
-0.312,-0.207,1.067,3.784,-8.484,27.710
-0.258,-0.199,1.031,11.047,-8.850,25.574
-0.216,-0.180,1.010,14.221,-6.836,21.912
-0.168,-0.173,1.008,15.747,-3.540,19.043
-0.109,-0.179,1.006,20.813,0.122,17.639
-0.058,-0.193,1.014,24.902,3.296,16.235
-0.012,-0.195,1.025,27.710,6.226,14.771
0.031,-0.196,1.046,31.616,9.033,13.672
0.066,-0.206,1.058,37.048,11.414,13.489
0.084,-0.224,1.057,38.330,12.390,14.038
0.112,-0.247,1.037,32.715,11.902,14.343
0.122,-0.255,1.026,22.766,9.521,15.381
0.130,-0.279,1.003,15.137,7.690,16.785
0.135,-0.275,1.004,6.958,4.456,19.348
0.144,-0.256,1.007,-2.441,-0.061,20.691
0.144,-0.239,1.000,-9.094,-3.418,21.301
0.141,-0.214,0.975,-13.123,-5.737,21.423
0.142,-0.183,0.945,-16.907,-7.324,20.996
0.130,-0.156,0.934,-19.165,-7.690,19.775
0.117,-0.138,0.940,-18.738,-7.263,18.555
0.102,-0.124,0.962,-17.761,-6.714,18.982
0.094,-0.105,0.987,-16.724,-7.324,20.508
0.093,-0.092,1.001,-12.085,-7.935,23.621
0.094,-0.089,1.010,-6.958,-10.254,27.832
0.104,-0.100,1.000,-4.822,-12.756,31.433
0.104,-0.111,0.992,-4.517,-12.878,32.654
0.083,-0.119,0.994,-4.028,-13.000,33.569
0.066,-0.111,0.994,-1.343,-12.756,35.339
0.074,-0.106,1.000,2.869,-12.939,39.978
0.073,-0.122,1.016,5.188,-13.184,42.053
0.089,-0.155,1.031,2.930,-13.916,39.246
0.081,-0.167,1.026,-6.653,-13.672,30.701
0.056,-0.141,1.003,-15.686,-11.414,18.127
0.058,-0.167,1.002,-19.165,-9.216,4.333
0.042,-0.143,0.988,-13.000,-5.066,-2.075
0.050,-0.126,0.974,-3.113,-1.526,-5.920
0.042,-0.093,0.978,0.793,0.854,-7.751
0.038,-0.055,0.981,-0.305,2.380,-7.812
0.042,-0.040,0.973,-2.625,2.441,-5.493
0.061,-0.038,0.971,-4.517,2.563,-2.319
0.045,-0.053,0.969,-8.179,2.747,0.488
0.015,-0.061,0.979,-8.911,2.991,4.456
0.018,-0.059,0.974,-6.470,3.601,8.057
0.014,-0.061,0.973,-3.296,4.517,11.841
0.012,-0.069,0.982,1.221,5.493,15.869
0.024,-0.092,0.979,4.700,6.531,18.799
0.034,-0.110,0.958,4.578,6.409,20.752
0.051,-0.138,0.964,-0.122,5.005,20.691
0.054,-0.144,0.971,-1.892,6.897,19.897
0.051,-0.155,0.985,-0.183,6.470,19.592
0.057,-0.150,1.006,0.122,5.798,18.921
0.068,-0.148,1.016,0.977,5.493,18.311
0.067,-0.141,1.024,4.028,5.493,17.700
0.078,-0.132,1.021,4.578,3.784,15.930
0.016,-0.187,1.064,0.183,0.671,14.343
0.109,-0.159,1.039,-1.282,-1.709,16.052
0.103,-0.143,1.029,-0.244,-3.418,12.756
0.102,-0.112,1.009,-0.061,-3.174,8.728
0.102,-0.124,1.018,1.770,-1.221,6.104
0.089,-0.129,1.043,2.686,0.305,4.456
0.099,-0.129,1.047,6.409,1.953,4.700
0.097,-0.116,1.044,12.024,3.784,3.418
0.092,-0.113,1.031,18.250,6.226,0.427
0.081,-0.141,1.022,23.682,8.911,-2.869
0.065,-0.141,1.015,28.076,10.559,-4.761
0.061,-0.135,1.006,27.649,11.108,-5.615
0.057,-0.130,1.001,24.475,11.963,-5.737
0.043,-0.124,1.012,22.095,12.451,-4.517
0.047,-0.129,1.008,23.010,14.404,-2.808
0.052,-0.136,1.005,26.489,16.235,-1.465
0.059,-0.142,1.006,31.860,18.066,-0.793
0.067,-0.155,1.001,34.973,18.860,-0.488
0.084,-0.179,0.978,32.288,18.127,-0.244
0.084,-0.178,0.969,20.813,14.709,1.465
0.081,-0.159,0.978,5.249,9.705,3.845
0.075,-0.137,1.000,-5.554,5.737,4.395
0.085,-0.141,1.000,-10.498,5.127,2.502
0.079,-0.152,1.008,-12.878,5.005,1.648
0.081,-0.150,1.018,-11.047,4.272,2.258
0.086,-0.155,1.024,-8.240,2.747,2.686
0.087,-0.149,1.029,-4.944,1.465,4.333
0.095,-0.150,1.026,-1.099,0.244,5.859
0.099,-0.157,1.023,0.366,-0.854,5.737
0.094,-0.159,1.020,-0.793,-2.563,5.371
0.090,-0.159,1.017,-3.418,-4.272,4.822
-0.509,0.817,1.202,-5.493,5.859,39.185
-0.535,0.641,1.177,-8.789,1.282,61.890
-0.559,0.377,1.157,-11.719,-3.418,83.801
-0.592,0.048,1.111,-20.874,-7.080,98.022
-0.629,-0.305,1.014,-32.410,-9.521,103.333
-0.654,-0.682,0.901,-39.307,-9.949,105.042
-0.700,-1.058,0.809,-37.292,-6.775,104.126
-0.652,-1.397,0.770,-25.024,-1.038,99.670
-0.510,-1.527,0.775,-6.958,5.188,92.712
-0.420,-1.410,0.851,21.240,14.465,79.651
-0.258,-1.164,1.014,53.284,26.611,62.134
-0.117,-0.862,1.176,65.430,34.973,49.133
0.053,-0.702,1.295,66.895,36.499,42.480
