aX,aY,aZ,gX,gY,gZ
0.013,-1.856,0.986,-39.001,-14.099,78.979
0.010,-1.995,0.968,-41.382,-13.855,63.416
0.013,-2.037,0.995,-36.743,-10.437,44.495
0.009,-2.005,1.050,-32.349,-6.409,22.827
0.008,-1.945,1.096,-23.071,-4.639,1.953
0.035,-1.794,1.117,-9.949,-4.089,-18.677
0.056,-1.555,1.134,7.996,-4.456,-41.016
0.067,-1.242,1.137,29.602,-6.470,-64.819
0.098,-0.867,1.084,49.500,-8.911,-85.693
0.138,-0.463,0.980,59.387,-12.329,-102.905
0.174,-0.043,0.887,51.575,-15.320,-114.868
0.184,0.355,0.808,27.893,-16.479,-120.422
0.189,0.662,0.762,1.770,-14.465,-116.638
0.193,0.885,0.756,-20.081,-9.705,-103.149
0.186,0.993,0.807,-36.072,-3.479,-83.557
0.157,1.032,0.901,-44.006,2.319,-63.843
0.102,1.032,1.011,-41.931,6.592,-48.340
0.036,1.016,1.083,-35.156,8.179,-36.377
-0.030,0.959,1.084,-28.625,8.240,-24.780
-0.054,0.768,1.051,-14.954,8.972,-7.812
-0.064,0.483,1.042,2.441,10.620,12.390
-0.098,0.212,1.055,10.254,11.414,23.621
-0.128,0.032,1.058,9.705,10.681,24.475
-0.138,-0.078,1.048,13.123,8.789,22.827
-0.126,-0.175,1.023,22.522,7.935,21.545
-0.109,-0.259,0.999,28.442,7.751,20.447
-0.099,-0.298,0.972,25.024,7.324,16.846
-0.096,-0.310,0.954,19.104,7.141,13.245
-0.097,-0.322,0.944,14.404,6.714,11.414
-0.103,-0.333,0.948,7.446,5.371,10.864
-0.105,-0.331,0.954,-1.282,3.479,10.254
-0.107,-0.317,0.951,-7.751,1.404,9.705
-0.100,-0.298,0.942,-10.437,0.183,9.399
-0.094,-0.271,0.927,-13.062,-0.732,9.521
-0.090,-0.239,0.919,-14.709,-1.282,10.132
-0.086,-0.220,0.921,-14.404,-0.977,11.597
-0.070,-0.197,0.932,-13.245,-0.732,13.672
-0.056,-0.192,0.951,-8.606,0.061,15.930
-0.053,-0.189,0.982,-1.648,0.854,17.334
-0.054,-0.174,1.002,4.517,1.343,16.052
-0.054,-0.140,1.008,5.798,0.488,12.085
-0.063,-0.110,1.006,6.104,-0.549,6.592
-0.064,-0.097,1.005,7.202,-0.977,2.869
-0.067,-0.086,1.001,8.057,-0.854,1.648
-0.060,-0.071,0.991,7.629,0.122,1.526
-0.053,-0.063,0.980,8.057,1.648,2.258
-0.051,-0.058,0.973,8.850,3.662,2.808
-0.051,-0.064,0.974,7.935,5.310,3.113
-0.055,-0.069,0.980,5.615,6.531,2.808
-0.059,-0.066,0.982,2.930,7.080,3.113
-0.065,-0.078,0.988,0.427,7.629,4.578
-0.070,-0.100,0.996,-2.625,7.874,7.202
-0.071,-0.120,1.000,-7.202,7.629,11.047
-0.072,-0.140,1.002,-11.414,6.897,14.771
-0.068,-0.166,1.004,-12.573,5.981,17.578
-0.063,-0.198,1.004,-11.292,5.127,19.104
-0.057,-0.215,1.002,-10.437,4.333,18.250
-0.059,-0.208,1.005,-8.728,3.845,15.320
-0.060,-0.181,1.005,-6.775,3.479,11.963
-0.059,-0.159,1.009,-4.517,3.052,10.193
-0.061,-0.149,1.020,-1.709,2.625,10.620
-0.059,-0.155,1.033,-0.244,2.075,11.475
-0.061,-0.159,1.043,-1.099,0.916,12.207
-0.062,-0.156,1.050,-2.991,-0.305,12.146
-0.061,-0.150,1.043,-4.761,-2.014,11.230
-0.059,-0.146,1.032,-5.432,-3.479,10.254
-0.060,-0.140,1.013,-6.104,-4.456,9.766
-0.058,-0.129,0.997,-7.202,-4.517,9.888
-0.064,-0.116,0.986,-7.568,-4.028,10.193
-0.064,-0.109,0.979,-7.202,-2.991,10.498
-0.062,-0.119,0.974,-6.592,-2.014,10.803
-0.063,-0.136,0.979,-5.005,-0.549,11.353
-0.064,-0.153,0.975,-2.075,0.793,10.986
-0.057,-0.167,0.976,0.916,1.831,9.583
-0.056,-0.167,0.973,2.319,2.930,7.019
-0.058,-0.153,0.975,2.441,4.028,3.967
-0.063,-0.135,0.979,2.319,5.127,1.465
-0.065,-0.129,0.985,3.357,6.104,0.671
-0.061,-0.129,0.991,5.066,6.836,0.854
-0.058,-0.141,0.991,5.798,6.653,1.038
-0.053,-0.143,0.990,5.493,6.348,1.038
-0.053,-0.141,0.992,5.188,5.798,1.038
-0.051,-0.138,0.994,4.761,5.432,1.221
-0.050,-0.133,0.993,2.930,4.761,1.770
-0.052,-0.137,0.999,1.221,4.211,2.441
-0.055,-0.149,0.997,-0.793,3.723,3.235
-0.052,-0.151,0.985,-3.052,2.991,3.601
-0.057,-0.146,0.983,-3.784,3.357,3.784
-0.058,-0.155,0.993,-2.014,3.784,4.211
-0.060,-0.155,1.001,-0.610,4.028,4.150
-0.059,-0.143,1.001,-0.305,3.784,3.235
-0.057,-0.134,0.997,0.671,3.357,2.502
-0.057,-0.122,0.997,0.549,3.052,2.197
-0.058,-0.123,1.001,-0.366,2.808,2.869
-0.059,-0.125,1.006,-1.465,2.380,4.150
-0.055,-0.130,1.002,-1.648,1.892,4.883
-0.051,-0.147,0.997,-1.648,1.648,5.127
-0.053,-0.150,0.991,-1.038,1.770,4.639
-0.055,-0.150,0.989,1.282,2.625,4.211
-0.058,-0.152,0.995,3.540,3.296,4.089
-0.061,-0.147,0.997,4.089,3.784,3.906
-0.061,-0.145,0.995,3.906,3.967,3.967
-0.057,-0.156,0.994,4.456,3.845,4.333
-0.055,-0.158,0.989,3.967,3.601,4.883
-0.053,-0.151,0.984,3.235,3.418,4.822
-0.052,-0.138,0.984,2.869,3.540,4.639
-0.052,-0.125,0.985,2.808,3.540,5.005
-0.051,-0.122,0.988,2.380,3.601,6.104
-0.052,-0.122,0.992,0.183,3.540,6.958
-0.053,-0.130,0.994,-2.075,3.296,7.812
-0.052,-0.139,0.994,-2.869,2.747,8.484
-0.050,-0.145,0.996,-2.930,2.319,9.033
-0.049,-0.158,0.993,-2.319,1.831,9.583
-0.049,-0.159,0.991,-2.747,1.587,9.705
-0.053,-0.156,0.997,-1.343,1.953,9.827
-0.052,-0.157,1.001,1.160,2.441,9.888
-0.052,-0.154,1.000,1.343,2.441,9.521
-0.054,-0.154,1.005,1.831,2.747,9.460
-0.054,-0.152,1.012,2.441,2.502,9.521
0.146,-1.317,1.092,-20.752,-11.047,57.556
0.146,-1.349,1.069,-20.386,-10.498,43.701
0.129,-1.366,1.064,-19.409,-9.888,29.541
0.113,-1.373,1.060,-14.526,-8.850,15.503
0.104,-1.357,1.040,-7.385,-8.606,1.465
0.095,-1.302,1.016,-2.441,-9.033,-13.000
0.085,-1.234,1.001,4.456,-9.460,-27.161
0.077,-1.123,0.995,15.076,-10.437,-39.673
0.076,-0.976,0.975,26.794,-11.658,-49.438
0.080,-0.804,0.946,34.912,-13.794,-55.664
0.075,-0.642,0.930,37.048,-16.174,-59.265
0.068,-0.505,0.916,30.396,-18.494,-60.608
0.062,-0.394,0.893,16.907,-21.301,-60.486
