aX,aY,aZ,gX,gY,gZ
-2.192,-0.531,0.472,-122.314,3.296,70.435
-2.691,-0.835,0.136,-80.383,22.095,73.853
-2.982,-1.218,-0.178,-22.339,51.331,64.209
-2.879,-1.412,-0.301,16.785,97.961,38.940
-2.158,-1.358,0.005,23.499,160.767,-9.094
-1.063,-1.013,0.325,69.214,236.023,-72.510
0.330,-0.580,0.510,148.926,292.175,-128.723
1.801,-0.124,1.014,198.914,294.189,-148.376
3.114,0.149,1.513,216.553,244.446,-145.447
4.000,0.391,2.005,206.055,172.363,-120.911
4.000,0.644,2.352,161.865,98.511,-107.788
4.000,0.798,2.469,64.026,31.738,-92.896
3.692,0.855,2.255,-17.212,-25.574,-59.387
2.828,0.676,1.815,-67.200,-82.886,-6.714
1.931,0.419,1.434,-103.821,-116.455,42.358
1.120,0.227,1.070,-122.437,-131.287,72.937
0.361,0.050,0.707,-123.596,-139.465,89.539
-0.259,-0.171,0.435,-111.023,-147.400,102.844
-0.760,-0.320,0.257,-88.196,-151.123,114.929
-1.039,-0.461,0.069,-59.937,-137.329,120.544
-1.153,-0.573,0.032,-43.640,-104.492,110.474
-1.187,-0.687,0.155,-27.344,-78.979,86.426
-1.166,-0.813,0.242,0.305,-59.570,60.059
-1.097,-0.836,0.341,24.719,-41.016,34.119
-0.977,-0.797,0.451,38.940,-19.775,12.573
-0.829,-0.745,0.558,40.955,-0.793,0.916
-0.654,-0.656,0.674,34.790,15.259,-3.296
-0.469,-0.545,0.807,24.414,30.823,-9.155
-0.305,-0.451,0.944,18.555,42.664,-18.555
-0.213,-0.385,1.025,19.531,46.631,-25.391
-0.182,-0.365,1.013,22.949,45.410,-26.978
-0.144,-0.280,0.979,26.733,44.373,-26.367
-0.085,-0.215,0.966,28.137,46.936,-28.320
0.009,-0.139,1.027,23.499,51.147,-33.936
0.097,-0.047,1.090,15.076,55.115,-38.757
0.181,0.015,1.131,14.343,54.321,-39.185
0.226,0.037,1.143,13.489,45.898,-32.654
0.218,0.013,1.125,5.554,34.912,-21.484
0.183,-0.006,1.120,-6.531,26.489,-9.277
0.137,-0.031,1.125,-17.517,19.592,-1.892
0.107,-0.053,1.118,-19.470,11.963,1.404
0.075,-0.082,1.102,-18.188,2.747,3.845
0.032,-0.118,1.090,-19.653,-4.089,6.348
-0.008,-0.143,1.067,-22.095,-7.629,9.277
-0.048,-0.151,1.057,-23.315,-10.132,13.123
-0.071,-0.177,1.044,-21.912,-11.963,16.541
-0.089,-0.187,1.047,-19.348,-11.230,19.226
-0.086,-0.181,1.031,-14.221,-8.850,21.240
-0.078,-0.167,1.009,-10.986,-4.456,23.376
-0.057,-0.155,0.997,-11.902,2.319,25.696
-0.030,-0.158,1.018,-15.991,7.263,27.222
-0.010,-0.179,1.040,-15.991,6.409,27.710
-0.003,-0.191,1.048,-11.169,2.991,25.757
-0.003,-0.198,1.036,-4.944,-0.732,22.888
-0.010,-0.195,1.028,-1.587,-3.601,19.836
-0.007,-0.187,1.032,-0.244,-4.333,17.029
-0.001,-0.179,1.028,3.357,-3.540,14.099
-0.000,-0.175,1.024,7.690,-2.625,10.864
0.000,-0.161,1.014,12.451,-0.793,7.385
0.006,-0.152,1.006,15.808,1.648,3.296
0.008,-0.178,1.003,14.587,3.723,0.732
0.007,-0.199,1.010,8.667,5.310,-0.305
-0.003,-0.188,1.022,3.845,6.348,-0.916
-0.010,-0.165,1.023,3.418,6.592,-1.587
-0.012,-0.146,1.015,4.456,6.409,-1.709
-0.015,-0.155,1.010,3.967,6.165,-0.916
-0.023,-0.178,1.015,1.160,6.287,1.221
-0.024,-0.192,1.023,-1.465,6.470,4.089
-0.018,-0.179,1.021,-1.892,6.470,6.287
-0.014,-0.176,1.027,-1.953,5.615,6.592
-0.008,-0.176,1.033,-1.587,4.211,6.470
-0.012,-0.175,1.026,-0.610,2.441,7.385
-0.014,-0.183,1.013,-0.854,0.610,8.484
-0.014,-0.192,1.003,-2.808,-0.549,9.644
-0.016,-0.202,1.001,-5.188,-0.916,10.620
-0.015,-0.200,1.007,-7.629,-1.160,10.681
-0.017,-0.192,1.019,-8.301,-1.770,10.193
-0.016,-0.200,1.019,-6.592,-2.563,9.277
-0.017,-0.214,1.018,-5.066,-3.174,8.240
-0.021,-0.211,1.027,-3.784,-4.089,7.019
-0.016,-0.194,1.030,-1.221,-4.456,5.371
-0.016,-0.184,1.028,0.610,-4.639,3.906
-0.030,-0.179,1.024,1.160,-4.944,4.700
