aX,aY,aZ,gX,gY,gZ
-0.225,-0.429,2.404,79.651,46.265,49.561
-0.236,-0.485,2.618,89.111,42.053,47.668
-0.222,-0.486,2.687,89.294,27.283,40.771
-0.204,-0.456,2.653,77.698,2.380,27.649
-0.144,-0.342,2.461,48.706,-28.931,10.132
-0.093,-0.211,2.219,18.982,-58.655,-4.150
-0.077,-0.110,1.986,9.827,-78.064,-10.864
-0.057,0.002,1.747,8.667,-92.285,-14.648
-0.051,0.138,1.441,-0.732,-105.103,-21.667
-0.045,0.281,1.045,-18.066,-117.920,-32.227
-0.021,0.428,0.536,-35.828,-126.770,-42.236
-0.003,0.568,-0.077,-52.063,-127.686,-49.866
-0.016,0.621,-0.761,-70.923,-121.948,-54.871
-0.005,0.521,-1.484,-87.830,-110.229,-52.002
0.063,0.270,-2.125,-83.313,-87.036,-37.109
0.035,0.032,-2.516,-49.133,-47.180,-15.259
0.014,-0.088,-2.640,4.211,8.606,5.127
0.030,-0.088,-2.511,68.054,73.669,24.536
0.091,-0.013,-2.198,114.319,134.827,39.429
0.139,0.032,-1.672,123.169,182.251,51.453
0.168,-0.060,-0.876,107.422,213.501,63.904
0.177,-0.276,0.036,68.909,216.370,74.280
0.218,-0.631,0.812,32.715,193.054,82.458
0.299,-0.937,1.435,16.968,162.109,84.900
0.297,-1.035,2.092,21.118,131.409,80.261
0.174,-0.987,2.756,37.048,105.896,67.017
0.068,-0.922,3.199,39.001,87.097,50.171
0.017,-0.850,3.344,14.526,72.693,30.518
-0.002,-0.785,3.259,-21.606,54.504,6.836
0.000,-0.711,3.031,-52.185,28.015,-18.799
0.004,-0.597,2.711,-68.481,0.916,-40.100
0.005,-0.431,2.329,-72.571,-21.790,-52.368
-0.025,-0.232,1.927,-69.031,-38.269,-56.885
-0.052,-0.066,1.530,-62.439,-48.706,-56.519
-0.045,0.069,1.142,-56.641,-54.321,-51.086
-0.042,0.162,0.780,-53.833,-54.016,-44.128
-0.041,0.199,0.507,-49.561,-47.119,-38.086
-0.059,0.199,0.332,-44.006,-36.194,-31.189
-0.078,0.164,0.267,-37.354,-24.658,-22.827
-0.066,0.082,0.279,-27.222,-14.099,-12.024
-0.037,0.015,0.361,-15.930,-3.235,-1.587
-0.040,-0.017,0.523,-2.319,7.507,4.883
-0.052,-0.065,0.701,12.390,15.564,8.240
-0.037,-0.115,0.821,19.775,18.799,10.559
-0.024,-0.153,0.924,17.090,19.226,10.925
-0.026,-0.165,1.005,9.583,18.372,8.179
-0.039,-0.154,1.079,0.916,16.296,4.089
-0.052,-0.147,1.132,-7.446,14.404,1.221
-0.074,-0.139,1.175,-14.160,12.939,0.427
-0.092,-0.112,1.210,-17.700,10.986,2.197
-0.096,-0.107,1.209,-15.869,8.728,5.920
-0.079,-0.105,1.171,-12.329,4.944,9.155
-0.083,-0.099,1.146,-11.292,0.549,10.681
-0.104,-0.063,1.144,-13.245,-3.845,10.376
-0.111,-0.093,1.170,-18.433,-7.385,9.399
-0.115,-0.107,1.197,-17.883,-9.766,12.329
-0.097,-0.138,1.207,-8.118,-9.521,15.564
-0.105,-0.144,1.205,-0.488,-6.836,11.597
-0.110,-0.105,1.190,5.066,-5.005,5.005
-0.109,-0.059,1.164,5.371,-3.662,0.000
-0.085,-0.015,1.116,-0.671,-7.263,-0.610
-0.066,-0.035,1.045,-1.526,-6.836,-3.845
-0.065,-0.077,0.987,0.305,-2.808,-11.536
-0.084,-0.104,0.964,0.671,-1.587,-16.724
-0.095,-0.089,0.958,-0.488,-1.526,-17.151
-0.112,-0.078,0.934,-0.549,0.183,-16.663
-0.118,-0.083,0.919,-0.244,1.099,-15.503
-0.103,-0.094,0.906,1.282,0.793,-13.611
-0.099,-0.091,0.910,2.014,-1.770,-11.780
-0.099,-0.071,0.910,4.822,-5.188,-9.705
-0.017,-0.006,0.856,5.249,-10.315,-7.874
-0.087,-0.035,0.895,12.634,-10.620,-6.897
-0.138,-0.090,0.890,20.874,-17.273,-0.610
-0.101,-0.116,0.959,20.569,-22.949,13.184
-0.119,-0.119,1.053,15.869,-24.536,19.897
-0.115,-0.123,0.990,20.996,-18.188,22.034
-0.114,-0.141,0.992,19.226,-16.235,19.897
-0.121,-0.157,1.012,15.808,-15.991,16.968
-0.132,-0.145,1.034,13.733,-12.024,13.306
-0.139,-0.129,1.029,12.146,-8.423,7.751
-0.139,-0.107,1.018,6.165,-6.836,0.122
-0.139,-0.085,1.001,2.991,-4.761,-6.165
-0.122,-0.079,0.950,1.587,-5.066,-10.681
-0.156,-0.107,1.029,-6.836,-15.991,-15.320
-0.153,-0.108,0.899,-2.502,-17.700,-15.503
-0.173,-0.094,0.996,-7.263,-23.010,-17.517
-0.179,-0.089,1.004,-4.089,-26.611,-17.090
-0.171,-0.086,1.001,-1.404,-29.053,-16.479
-0.190,-0.102,0.997,1.709,-29.541,-15.076
-0.197,-0.103,0.975,7.202,-24.292,-11.047
-0.186,-0.111,0.981,10.742,-19.836,-7.935
-0.198,-0.103,1.007,13.123,-14.771,-4.639
-0.193,-0.095,1.003,13.672,-9.827,-2.380
-0.180,-0.112,1.001,14.038,-3.418,-1.343
-0.180,-0.133,1.010,12.939,1.953,-1.221
-0.186,-0.126,1.014,6.531,4.517,-1.648
-0.176,-0.114,1.009,-0.610,4.944,-2.808
-0.173,-0.100,1.004,-3.479,5.188,-3.113
-0.183,-0.103,1.004,-4.822,5.676,-3.174
-0.183,-0.102,1.008,-5.127,5.798,-2.502
-0.181,-0.093,1.008,-4.456,5.432,-1.587
-0.176,-0.080,1.008,-1.343,4.822,-1.221
-0.172,-0.059,0.998,3.357,4.333,-1.099
-0.168,-0.071,1.000,9.338,5.615,-0.427
-0.172,-0.113,1.001,15.564,8.667,0.366
-0.171,-0.130,1.001,17.395,11.597,0.549
-0.161,-0.142,0.992,15.991,13.245,0.000
-0.164,-0.129,0.986,11.597,12.878,-1.343
-0.169,-0.108,0.984,6.104,8.606,-2.075
-0.167,-0.129,0.966,4.700,3.540,-1.526
-0.182,-0.137,0.968,4.761,2.625,-1.038
-0.170,-0.138,0.982,6.775,2.869,-0.854
-0.159,-0.153,0.984,3.296,3.052,-0.793
-0.168,-0.171,0.971,-3.174,2.502,0.610
-0.181,-0.147,0.947,-15.991,2.380,2.869
-0.179,-0.132,0.937,-27.649,3.052,5.127
-0.171,-0.110,0.944,-31.311,3.906,8.301
-0.170,-0.096,0.960,-27.954,3.662,9.888
-0.168,-0.090,0.964,-22.888,3.052,10.437
-0.736,-0.472,3.757,-78.003,-17.029,28.809
-0.738,-0.268,3.968,-148.499,-245.605,19.104
0.668,-0.170,1.584,-94.604,-23.499,-31.006
-0.124,-0.590,1.454,-48.401,-16.052,-44.067
0.000,-0.125,1.035,-57.190,-6.653,-37.720
-0.097,0.025,1.374,-49.316,-21.912,-3.601
-0.120,0.049,1.518,-4.700,-20.813,-3.540
-0.163,0.114,1.217,24.597,-4.028,-4.639
-0.164,0.092,0.962,43.457,1.465,-1.343
-0.138,0.069,0.841,40.710,-1.099,-3.113
-0.123,0.100,0.789,28.076,0.427,-5.493
-0.151,0.096,0.827,19.165,1.404,-2.441
-0.135,0.053,0.880,3.723,0.977,-1.343
-0.141,-0.018,0.973,-6.958,-0.732,0.488
-0.148,-0.084,1.056,-7.568,-1.160,5.554
-0.151,-0.154,1.113,-2.319,-0.671,9.521
-0.134,-0.193,1.139,0.244,-0.671,8.179
-0.139,-0.214,1.130,1.465,-1.282,4.822
-0.138,-0.201,1.098,5.798,-2.075,2.625
-0.114,-0.149,1.050,9.338,-2.319,2.258
-0.127,-0.130,1.063,13.000,-2.197,4.700
-0.130,-0.122,1.069,13.245,-0.916,4.028
-0.135,-0.110,1.068,10.620,1.038,2.930
-0.132,-0.099,1.064,5.554,2.808,1.404
-0.131,-0.097,1.061,0.549,3.906,0.610
-0.136,-0.101,1.065,-2.625,3.662,1.343
-0.136,-0.103,1.059,-4.150,2.441,2.380
-0.131,-0.107,1.046,-3.784,0.793,3.296
-0.128,-0.114,1.031,-2.502,-0.549,3.662
-0.127,-0.122,1.011,0.244,-2.014,3.540
-0.122,-0.120,0.987,2.625,-2.808,3.296
-0.127,-0.114,0.967,4.517,-3.113,2.747
-0.127,-0.108,0.954,5.554,-2.563,2.075
-0.132,-0.116,0.946,5.554,-1.526,1.282
-0.131,-0.117,0.936,5.493,-0.427,1.160
-0.131,-0.110,0.938,4.150,0.244,1.709
-0.131,-0.104,0.945,2.991,0.916,2.136
-0.129,-0.098,0.958,2.197,1.526,2.502
-0.128,-0.092,0.972,1.404,1.648,2.625
-0.126,-0.096,0.981,1.343,1.404,2.380
-0.122,-0.099,0.978,1.648,1.038,1.892
-0.119,-0.099,0.981,1.038,0.916,1.343
-0.114,-0.101,0.985,-0.183,1.038,0.732
-0.126,-0.099,0.990,-1.160,0.427,2.258
-0.118,-0.113,0.990,-1.343,0.061,3.662
-0.120,-0.109,0.993,-1.465,0.427,3.113
-0.126,-0.107,0.995,-1.160,0.427,3.235
-0.127,-0.110,0.991,-0.977,0.671,2.930
-0.130,-0.116,0.985,-0.183,0.854,3.052
-0.134,-0.115,0.983,-0.366,1.038,3.479
-0.136,-0.112,0.983,-0.183,1.404,3.418
-0.141,-0.105,0.990,-0.122,1.892,3.723
-0.149,-0.107,1.000,0.732,2.258,4.333
-0.146,-0.111,1.000,1.648,2.930,4.822
-0.150,-0.105,1.000,2.563,3.479,4.822
-0.143,-0.100,1.001,3.479,3.601,6.104
-0.137,-0.105,0.997,3.601,3.113,7.385
-0.137,-0.110,0.996,3.235,3.174,6.653
-0.135,-0.108,1.001,3.357,2.563,6.775
-0.128,-0.108,0.999,2.991,2.136,6.897
-0.128,-0.110,0.999,2.686,2.441,5.981
-0.128,-0.111,1.000,2.258,2.930,5.615
-0.122,-0.109,1.000,1.831,3.174,5.310
-0.122,-0.109,1.001,2.686,3.845,4.456
-0.120,-0.116,1.000,3.113,4.700,3.296
-0.118,-0.123,0.995,3.235,5.249,2.930
-0.118,-0.122,0.988,2.686,5.371,3.052
-0.117,-0.119,0.985,2.197,5.310,3.174
-0.120,-0.122,0.984,1.770,5.005,3.784
-0.116,-0.131,0.986,1.465,4.761,4.639
-0.113,-0.133,0.986,0.427,4.944,3.784
-0.114,-0.137,0.987,-0.122,5.066,3.601
-0.112,-0.141,0.984,-0.671,4.639,4.028
-0.113,-0.141,0.982,-1.099,4.578,3.418
-0.114,-0.135,0.981,-1.465,4.578,2.502
-0.114,-0.130,0.979,-1.526,4.395,2.014
-0.115,-0.126,0.974,-1.404,4.150,1.953
-0.119,-0.127,0.971,-1.160,3.845,1.648
-0.120,-0.125,0.969,-1.709,3.540,1.892
-0.122,-0.127,0.973,-2.319,3.296,2.502
-0.111,-0.123,0.975,-2.808,2.869,2.991
-0.127,-0.121,0.982,-2.747,1.953,5.676
-0.125,-0.127,0.979,-2.319,1.953,6.348
-0.123,-0.122,0.984,-1.282,2.136,5.493
-0.119,-0.114,0.990,1.709,2.380,5.371
-0.116,-0.112,0.991,3.296,2.686,5.249
-0.116,-0.116,0.989,3.357,2.258,5.310
-0.116,-0.119,0.987,2.319,1.831,5.554
-0.115,-0.119,0.990,0.366,1.892,5.188
-0.116,-0.115,0.998,-1.709,2.014,5.005
-0.116,-0.112,1.001,-3.296,1.953,4.822
-0.114,-0.109,1.005,-4.761,1.709,4.822
-0.108,-0.106,1.004,-6.042,1.526,5.188
-0.110,-0.100,1.001,-6.348,1.160,5.188
-0.118,-0.099,0.998,-5.066,1.221,5.188
-0.116,-0.099,0.995,-2.869,1.160,5.005
-0.115,-0.096,0.987,-2.014,0.977,4.944
-0.114,-0.108,0.982,-2.014,1.099,5.188
-0.122,-0.100,0.989,-1.465,1.160,5.310
-0.122,-0.106,0.999,0.122,1.343,5.127
-0.120,-0.106,1.000,0.366,1.526,4.578
-0.119,-0.111,0.999,0.732,1.526,3.906
-0.128,-0.111,0.996,0.671,1.526,3.723
-0.125,-0.109,0.989,0.366,1.160,3.906
-0.128,-0.105,0.987,0.854,0.793,4.272
-0.127,-0.105,0.986,1.099,0.610,4.700
-0.121,-0.113,0.987,0.244,0.671,5.188
-0.121,-0.118,0.990,-0.854,0.610,5.676
-0.123,-0.120,0.986,-2.136,0.977,5.859
-0.122,-0.118,0.988,-2.930,1.221,5.066
-0.119,-0.110,0.989,-3.479,1.465,4.272
-0.120,-0.107,0.991,-3.662,2.197,3.601
-0.121,-0.104,0.996,-3.723,2.625,2.808
-0.122,-0.100,0.996,-4.211,2.930,2.075
-0.124,-0.098,0.995,-4.272,2.686,2.014
-0.125,-0.100,0.996,-3.601,2.502,2.380
-0.125,-0.102,0.992,-2.075,2.625,2.930
-0.121,-0.104,0.993,-0.305,2.686,3.113
-0.121,-0.104,0.992,0.916,2.930,3.357
